initialized 256 sized buffer with EMPTY CTOR
printing array: 
buf[245] = 246
buf[246] = 247
buf[247] = 248
buf[248] = 249
buf[249] = 250
buf[250] = 251
buf[251] = 252
buf[252] = 253
buf[253] = 254
buf[254] = 255
buf[255] = 256
buf[256] = 257
buf[257] = 258
buf[258] = 259
buf[259] = 260
buf[260] = 261
buf[261] = 262
buf[262] = 263
buf[263] = 264
buf[264] = 265
buf[265] = 266
buf[266] = 267
buf[267] = 268
buf[268] = 269
buf[269] = 270
buf[270] = 271
buf[271] = 272
buf[272] = 273
buf[273] = 274
buf[274] = 275
buf[275] = 276
buf[276] = 277
buf[277] = 278
buf[278] = 279
buf[279] = 280
buf[280] = 281
buf[281] = 282
buf[282] = 283
buf[283] = 284
buf[284] = 285
buf[285] = 286
buf[286] = 287
buf[287] = 288
buf[288] = 289
buf[289] = 290
buf[290] = 291
buf[291] = 292
buf[292] = 293
buf[293] = 294
buf[294] = 295
buf[295] = 296
buf[296] = 297
buf[297] = 298
buf[298] = 299
buf[299] = 300
buf[300] = 301
buf[301] = 302
buf[302] = 303
buf[303] = 304
buf[304] = 305
buf[305] = 306
buf[306] = 307
buf[307] = 308
buf[308] = 309
buf[309] = 310
buf[310] = 311
buf[311] = 312
buf[312] = 313
buf[313] = 314
buf[314] = 315
buf[315] = 316
buf[316] = 317
buf[317] = 318
buf[318] = 319
buf[319] = 320
buf[320] = 321
buf[321] = 322
buf[322] = 323
buf[323] = 324
buf[324] = 325
buf[325] = 326
buf[326] = 327
buf[327] = 328
buf[328] = 329
buf[329] = 330
buf[330] = 331
buf[331] = 332
buf[332] = 333
buf[333] = 334
buf[334] = 335
buf[335] = 336
buf[336] = 337
buf[337] = 338
buf[338] = 339
buf[339] = 340
buf[340] = 341
buf[341] = 342
buf[342] = 343
buf[343] = 344
buf[344] = 345
buf[345] = 346
buf[346] = 347
buf[347] = 348
buf[348] = 349
buf[349] = 350
buf[350] = 351
buf[351] = 352
buf[352] = 353
buf[353] = 354
buf[354] = 355
buf[355] = 356
buf[356] = 357
buf[357] = 358
buf[358] = 359
buf[359] = 360
buf[360] = 361
buf[361] = 362
buf[362] = 363
buf[363] = 364
buf[364] = 365
buf[365] = 366
buf[366] = 367
buf[367] = 368
buf[368] = 369
buf[369] = 370
buf[370] = 371
buf[371] = 372
buf[372] = 373
buf[373] = 374
buf[374] = 375
buf[375] = 376
buf[376] = 377
buf[377] = 378
buf[378] = 379
buf[379] = 380
buf[380] = 381
buf[381] = 382
buf[382] = 383
buf[383] = 384
buf[384] = 385
buf[385] = 386
buf[386] = 387
buf[387] = 388
buf[388] = 389
buf[389] = 390
buf[390] = 391
buf[391] = 392
buf[392] = 393
buf[393] = 394
buf[394] = 395
buf[395] = 396
buf[396] = 397
buf[397] = 398
buf[398] = 399
buf[399] = 400
buf[400] = 401
buf[401] = 402
buf[402] = 403
buf[403] = 404
buf[404] = 405
buf[405] = 406
buf[406] = 407
buf[407] = 408
buf[408] = 409
buf[409] = 410
buf[410] = 411
buf[411] = 412
buf[412] = 413
buf[413] = 414
buf[414] = 415
buf[415] = 416
buf[416] = 417
buf[417] = 418
buf[418] = 419
buf[419] = 420
buf[420] = 421
buf[421] = 422
buf[422] = 423
buf[423] = 424
buf[424] = 425
buf[425] = 426
buf[426] = 427
buf[427] = 428
buf[428] = 429
buf[429] = 430
buf[430] = 431
buf[431] = 432
buf[432] = 433
buf[433] = 434
buf[434] = 435
buf[435] = 436
buf[436] = 437
buf[437] = 438
buf[438] = 439
buf[439] = 440
buf[440] = 441
buf[441] = 442
buf[442] = 443
buf[443] = 444
buf[444] = 445
buf[445] = 446
buf[446] = 447
buf[447] = 448
buf[448] = 449
buf[449] = 450
buf[450] = 451
buf[451] = 452
buf[452] = 453
buf[453] = 454
buf[454] = 455
buf[455] = 456
buf[456] = 457
buf[457] = 458
buf[458] = 459
buf[459] = 460
buf[460] = 461
buf[461] = 462
buf[462] = 463
buf[463] = 464
buf[464] = 465
buf[465] = 466
buf[466] = 467
buf[467] = 468
buf[468] = 469
buf[469] = 470
buf[470] = 471
buf[471] = 472
buf[472] = 473
buf[473] = 474
buf[474] = 475
buf[475] = 476
buf[476] = 477
buf[477] = 478
buf[478] = 479
buf[479] = 480
buf[480] = 481
buf[481] = 482
buf[482] = 483
buf[483] = 484
buf[484] = 485
buf[485] = 486
buf[486] = 487
buf[487] = 488
buf[488] = 489
buf[489] = 490
buf[490] = 491
buf[491] = 492
buf[492] = 493
buf[493] = 494
buf[494] = 495
buf[495] = 496
buf[496] = 497
buf[497] = 498
buf[498] = 499
buf[499] = 500
buf[500] = 501
buf[501] = 502
buf[502] = 503
buf[503] = 504
buf[504] = 505
buf[505] = 506
buf[506] = 507
buf[507] = 508
buf[508] = 509
buf[509] = 510
buf[510] = 511
buf[511] = 512
buf[512] = 513
buf[513] = 514
buf[514] = 515
buf[515] = 516
buf[516] = 517
buf[517] = 518
buf[518] = 519
buf[519] = 520
buf[520] = 521
buf[521] = 522
buf[522] = 523
buf[523] = 524
buf[524] = 525
buf[525] = 526
buf[526] = 527
buf[527] = 528
buf[528] = 529
buf[529] = 530
buf[530] = 531
buf[531] = 532
buf[532] = 533
buf[533] = 534
buf[534] = 535
buf[535] = 536
buf[536] = 537
buf[537] = 538
buf[538] = 539
buf[539] = 540
buf[540] = 541
buf[541] = 542
buf[542] = 543
buf[543] = 544
buf[544] = 545
buf[545] = 546
buf[546] = 547
buf[547] = 548
buf[548] = 549
buf[549] = 550
buf[550] = 551
buf[551] = 552
buf[552] = 553
buf[553] = 554
buf[554] = 555
buf[555] = 556
buf[556] = 557
buf[557] = 558
buf[558] = 559
buf[559] = 560
buf[560] = 561
buf[561] = 562
buf[562] = 563
buf[563] = 564
buf[564] = 565
buf[565] = 566
buf[566] = 567
buf[567] = 568
buf[568] = 569
buf[569] = 570
buf[570] = 571
buf[571] = 572
buf[572] = 573
buf[573] = 574
buf[574] = 575
buf[575] = 576
buf[576] = 577
buf[577] = 578
buf[578] = 579
buf[579] = 580
buf[580] = 581
buf[581] = 582
buf[582] = 583
buf[583] = 584
buf[584] = 585
buf[585] = 586
buf[586] = 587
buf[587] = 588
buf[588] = 589
buf[589] = 590
buf[590] = 591
buf[591] = 592
buf[592] = 593
buf[593] = 594
buf[594] = 595
buf[595] = 596
buf[596] = 597
buf[597] = 598
buf[598] = 599
buf[599] = 600
buf[600] = 601
buf[601] = 602
buf[602] = 603
buf[603] = 604
buf[604] = 605
buf[605] = 606
buf[606] = 607
buf[607] = 608
buf[608] = 609
buf[609] = 610
buf[610] = 611
buf[611] = 612
buf[612] = 613
buf[613] = 614
buf[614] = 615
buf[615] = 616
buf[616] = 617
buf[617] = 618
buf[618] = 619
buf[619] = 620
buf[620] = 621
buf[621] = 622
buf[622] = 623
buf[623] = 624
buf[624] = 625
buf[625] = 626
buf[626] = 627
buf[627] = 628
buf[628] = 629
buf[629] = 630
buf[630] = 631
buf[631] = 632
buf[632] = 633
buf[633] = 634
buf[634] = 635
buf[635] = 636
buf[636] = 637
buf[637] = 638
buf[638] = 639
buf[639] = 640
buf[640] = 641
buf[641] = 642
buf[642] = 643
buf[643] = 644
buf[644] = 645
buf[645] = 646
buf[646] = 647
buf[647] = 648
buf[648] = 649
buf[649] = 650
buf[650] = 651
buf[651] = 652
buf[652] = 653
buf[653] = 654
buf[654] = 655
buf[655] = 656
buf[656] = 657
buf[657] = 658
buf[658] = 659
buf[659] = 660
buf[660] = 661
buf[661] = 662
buf[662] = 663
buf[663] = 664
buf[664] = 665
buf[665] = 666
buf[666] = 667
buf[667] = 668
buf[668] = 669
buf[669] = 670
buf[670] = 671
buf[671] = 672
buf[672] = 673
buf[673] = 674
buf[674] = 675
buf[675] = 676
buf[676] = 677
buf[677] = 678
buf[678] = 679
buf[679] = 680
buf[680] = 681
buf[681] = 682
buf[682] = 683
buf[683] = 684
buf[684] = 685
buf[685] = 686
buf[686] = 687
buf[687] = 688
buf[688] = 689
buf[689] = 690
buf[690] = 691
buf[691] = 692
buf[692] = 693
buf[693] = 694
buf[694] = 695
buf[695] = 696
buf[696] = 697
buf[697] = 698
buf[698] = 699
buf[699] = 700
buf[700] = 701
buf[701] = 702
buf[702] = 703
buf[703] = 704
buf[704] = 705
buf[705] = 706
buf[706] = 707
buf[707] = 708
buf[708] = 709
buf[709] = 710
buf[710] = 711
buf[711] = 712
buf[712] = 713
buf[713] = 714
buf[714] = 715
buf[715] = 716
buf[716] = 717
buf[717] = 718
buf[718] = 719
buf[719] = 720
buf[720] = 721
buf[721] = 722
buf[722] = 723
buf[723] = 724
buf[724] = 725
buf[725] = 726
buf[726] = 727
buf[727] = 728
buf[728] = 729
buf[729] = 730
buf[730] = 731
buf[731] = 732
buf[732] = 733
buf[733] = 734
buf[734] = 735
buf[735] = 736
buf[736] = 737
buf[737] = 738
buf[738] = 739
buf[739] = 740
buf[740] = 741
buf[741] = 742
buf[742] = 743
buf[743] = 744
buf[744] = 745
buf[745] = 746
buf[746] = 747
buf[747] = 748
buf[748] = 749
buf[749] = 750
buf[750] = 751
buf[751] = 752
buf[752] = 753
buf[753] = 754
buf[754] = 755
buf[755] = 756
buf[756] = 757
buf[757] = 758
buf[758] = 759
buf[759] = 760
buf[760] = 761
buf[761] = 762
buf[762] = 763
buf[763] = 764
buf[764] = 765
buf[765] = 766
buf[766] = 767
buf[767] = 768
buf[768] = 769
buf[769] = 770
buf[770] = 771
buf[771] = 772
buf[772] = 773
buf[773] = 774
buf[774] = 775
buf[775] = 776
buf[776] = 777
buf[777] = 778
buf[778] = 779
buf[779] = 780
buf[780] = 781
buf[781] = 782
buf[782] = 783
buf[783] = 784
buf[784] = 785
buf[785] = 786
buf[786] = 787
buf[787] = 788
buf[788] = 789
buf[789] = 790
buf[790] = 791
buf[791] = 792
buf[792] = 793
buf[793] = 794
buf[794] = 795
buf[795] = 796
buf[796] = 797
buf[797] = 798
buf[798] = 799
buf[799] = 800
buf[800] = 801
buf[801] = 802
buf[802] = 803
buf[803] = 804
buf[804] = 805
buf[805] = 806
buf[806] = 807
buf[807] = 808
buf[808] = 809
buf[809] = 810
buf[810] = 811
buf[811] = 812
buf[812] = 813
buf[813] = 814
buf[814] = 815
buf[815] = 816
buf[816] = 817
buf[817] = 818
buf[818] = 819
buf[819] = 820
buf[820] = 821
buf[821] = 822
buf[822] = 823
buf[823] = 824
buf[824] = 825
buf[825] = 826
buf[826] = 827
buf[827] = 828
buf[828] = 829
buf[829] = 830
buf[830] = 831
buf[831] = 832
buf[832] = 833
buf[833] = 834
buf[834] = 835
buf[835] = 836
buf[836] = 837
buf[837] = 838
buf[838] = 839
buf[839] = 840
buf[840] = 841
buf[841] = 842
buf[842] = 843
buf[843] = 844
buf[844] = 845
buf[845] = 846
buf[846] = 847
buf[847] = 848
buf[848] = 849
buf[849] = 850
buf[850] = 851
buf[851] = 852
buf[852] = 853
buf[853] = 854
buf[854] = 855
buf[855] = 856
buf[856] = 857
buf[857] = 858
buf[858] = 859
buf[859] = 860
buf[860] = 861
buf[861] = 862
buf[862] = 863
buf[863] = 864
buf[864] = 865
buf[865] = 866
buf[866] = 867
buf[867] = 868
buf[868] = 869
buf[869] = 870
buf[870] = 871
buf[871] = 872
buf[872] = 873
buf[873] = 874
buf[874] = 875
buf[875] = 876
buf[876] = 877
buf[877] = 878
buf[878] = 879
buf[879] = 880
buf[880] = 881
buf[881] = 882
buf[882] = 883
buf[883] = 884
buf[884] = 885
buf[885] = 886
buf[886] = 887
buf[887] = 888
buf[888] = 889
buf[889] = 890
buf[890] = 891
buf[891] = 892
buf[892] = 893
buf[893] = 894
buf[894] = 895
buf[895] = 896
buf[896] = 897
buf[897] = 898
buf[898] = 899
buf[899] = 900
buf[900] = 901
buf[901] = 902
buf[902] = 903
buf[903] = 904
buf[904] = 905
buf[905] = 906
buf[906] = 907
buf[907] = 908
buf[908] = 909
buf[909] = 910
buf[910] = 911
buf[911] = 912
buf[912] = 913
buf[913] = 914
buf[914] = 915
buf[915] = 916
buf[916] = 917
buf[917] = 918
buf[918] = 919
buf[919] = 920
buf[920] = 921
buf[921] = 922
buf[922] = 923
buf[923] = 924
buf[924] = 925
buf[925] = 926
buf[926] = 927
buf[927] = 928
buf[928] = 929
buf[929] = 930
buf[930] = 931
buf[931] = 932
buf[932] = 933
buf[933] = 934
buf[934] = 935
buf[935] = 936
buf[936] = 937
buf[937] = 938
buf[938] = 939
buf[939] = 940
buf[940] = 941
buf[941] = 942
buf[942] = 943
buf[943] = 944
buf[944] = 945
buf[945] = 946
buf[946] = 947
buf[947] = 948
buf[948] = 949
buf[949] = 950
buf[950] = 951
buf[951] = 952
buf[952] = 953
buf[953] = 954
buf[954] = 955
buf[955] = 956
buf[956] = 957
buf[957] = 958
buf[958] = 959
buf[959] = 960
buf[960] = 961
buf[961] = 962
buf[962] = 963
buf[963] = 964
buf[964] = 965
buf[965] = 966
buf[966] = 967
buf[967] = 968
buf[968] = 969
buf[969] = 970
buf[970] = 971
buf[971] = 972
buf[972] = 973
buf[973] = 974
buf[974] = 975
buf[975] = 976
buf[976] = 977
buf[977] = 978
buf[978] = 979
buf[979] = 980
buf[980] = 981
buf[981] = 982
buf[982] = 983
buf[983] = 984
buf[984] = 985
buf[985] = 986
buf[986] = 987
buf[987] = 988
buf[988] = 989
buf[989] = 990
buf[990] = 991
buf[991] = 992
buf[992] = 993
buf[993] = 994
buf[994] = 995
buf[995] = 996
buf[996] = 997
buf[997] = 998
buf[998] = 999
buf[999] = 1000
buf[1000] = 1001
buf[1001] = 1002
buf[1002] = 1003
buf[1003] = 1004
buf[1004] = 1005
buf[1005] = 1006
buf[1006] = 1007
buf[1007] = 1008
buf[1008] = 1009
buf[1009] = 1010
buf[1010] = 1011
buf[1011] = 1012
buf[1012] = 1013
buf[1013] = 1014
buf[1014] = 1015
buf[1015] = 1016
buf[1016] = 1017
buf[1017] = 1018
buf[1018] = 1019
buf[1019] = 1020
buf[1020] = 1021
buf[1021] = 1022
buf[1022] = 1023
buf[1023] = 1024

deleted buffer with destructor, size = 0
deleted buffer with destructor, size = 0
